cod_ibge,ano,cnae_2_secao,vinculos
1701903,2024,11,285
1701903,2024,56,2
1701903,2024,42,7
1701903,2024,15,146
1701903,2024,21,39
1701903,2024,69,11
1701903,2024,53,2
1701903,2024,47,84
1701903,2024,55,4
1701903,2024,94,2
1701903,2024,86,1
1701903,2024,84,671
1701903,2024,46,2
1701903,2024,36,9
1701903,2024,13,1
1702000,2019,01,821
1702000,2019,55,6
1702000,2019,84,484
1702000,2019,74,4
1702000,2019,43,1
1702000,2019,31,3
1702000,2019,46,12
1702000,2019,53,3
1702000,2019,82,4
1702000,2019,23,1
1702000,2019,45,40
1702000,2019,56,5
1702000,2019,61,6
1702000,2019,96,4
1702000,2019,35,9
1702000,2019,49,4
1702000,2019,69,15
1702000,2019,86,12
1702000,2019,94,24
1702000,2019,16,2
1702000,2019,42,12
1702000,2019,47,182
1702000,2019,66,5
1702000,2019,64,20
1702000,2020,53,3
1702000,2020,74,6
1702000,2020,96,2
1702000,2020,43,1
1702000,2020,55,5
1702000,2020,23,1
1702000,2020,94,20
1702000,2020,56,5
1702000,2020,03,1
1702000,2020,45,31
1702000,2020,69,13
1702000,2020,84,505
1702000,2020,82,4
1702000,2020,01,910
1702000,2020,47,179
1702000,2020,35,10
1702000,2020,31,3
1702000,2020,42,4
1702000,2020,86,9
1702000,2020,16,4
1702000,2020,46,8
1702000,2020,61,13
1702000,2020,64,23
1702000,2020,49,4
1702000,2020,66,3
1702000,2021,96,3
1702000,2021,85,4
1702000,2021,47,192
1702000,2021,49,3
1702000,2021,66,3
1702000,2021,69,20
1702000,2021,84,447
1702000,2021,61,18
1702000,2021,03,4
1702000,2021,01,1034
1702000,2021,46,6
1702000,2021,74,7
1702000,2021,31,3
1702000,2021,35,10
1702000,2021,55,4
1702000,2021,56,11
1702000,2021,16,2
1702000,2021,82,6
1702000,2021,45,37
1702000,2021,94,19
1702000,2021,53,3
1702000,2021,64,33
1702000,2021,86,116
1702000,2021,23,1
1702000,2021,32,1
1702000,2022,01,1202
1702000,2022,32,2
1702000,2022,53,3
1702000,2022,81,1
1702000,2022,55,4
1702000,2022,69,29
1702000,2022,85,5
1702000,2022,86,117
1702000,2022,10,2
1702000,2022,74,7
1702000,2022,23,1
1702000,2022,35,12
1702000,2022,56,10
1702000,2022,64,43
1702000,2022,96,1
1702000,2022,41,1
1702000,2022,45,35
1702000,2022,47,215
1702000,2022,94,20
1702000,2022,16,1
1702000,2022,66,4
1702000,2022,82,8
1702000,2022,61,27
1702000,2022,49,2
1702000,2022,84,516
1702000,2022,52,2
1702000,2022,08,10
1702000,2022,31,4
1702000,2023,11,101
1702000,2023,81,8
1702000,2023,52,4
1702000,2023,43,1
1702000,2023,55,9
1702000,2023,69,24
1702000,2023,46,6
1702000,2023,41,1
1702000,2023,16,49
1702000,2023,47,238
1702000,2023,86,128
1702000,2023,94,24
1702000,2023,45,33
1702000,2023,15,825
1702000,2023,10,9
1702000,2023,23,1
1702000,2023,82,17
1702000,2023,31,4
1702000,2023,35,10
1702000,2023,66,1
1702000,2023,64,50
1702000,2023,13,207
1702000,2023,61,26
1702000,2023,96,7
1702000,2023,32,2
1702000,2023,84,546
1702000,2023,56,8
1702000,2023,85,8
1702000,2023,49,6
1702000,2023,74,7
1702000,2023,53,2
1702000,2024,94,29
